"Date","Site.Name","RiverMile","RiverKM","Temperature.C.Daily","Turbidity.FNU.Daily","Season","Year"
2004-03-18,"Spencer",246,NA,12.8617708333333,NA,"spring","2004"
2004-03-19,"30-mile",30,NA,9.50572916666667,NA,"spring","2004"
2004-03-19,"Above_LCR",61,NA,10.0284375,NA,"spring","2004"
2004-03-19,"Below_LCR",66,NA,10.4308333333333,NA,"spring","2004"
2004-03-19,"Diamond",225,NA,12.664375,NA,"spring","2004"
2004-03-19,"Glen_Canyon_Dam",-16,NA,8.92805555555556,NA,"spring","2004"
2004-03-19,"LCR",NA,1,16.2488541666667,NA,"spring","2004"
2004-03-19,"Lee's_Ferry",0,NA,8.98069444444445,NA,"spring","2004"
2004-03-19,"National",167,NA,11.7061458333333,NA,"spring","2004"
2004-03-19,"Phantom",88,NA,10.6996875,NA,"spring","2004"
2004-03-19,"Spencer",246,NA,12.9083333333333,NA,"spring","2004"
2004-03-20,"30-mile",30,NA,9.5384375,NA,"spring","2004"
2004-03-20,"Above_LCR",61,NA,10.0633333333333,NA,"spring","2004"
2004-03-20,"Below_LCR",66,NA,10.4765625,NA,"spring","2004"
2004-03-20,"Diamond",225,NA,12.6466666666667,NA,"spring","2004"
2004-03-20,"Glen_Canyon_Dam",-16,NA,8.98486111111111,NA,"spring","2004"
2004-03-20,"LCR",NA,1,16.61375,NA,"spring","2004"
2004-03-20,"Lee's_Ferry",0,NA,9.03222222222222,NA,"spring","2004"
2004-03-20,"National",167,NA,11.785,NA,"spring","2004"
2004-03-20,"Phantom",88,NA,10.7741666666667,NA,"spring","2004"
2004-03-20,"Spencer",246,NA,12.9829166666667,NA,"spring","2004"
2004-03-21,"30-mile",30,NA,9.6246875,NA,"spring","2004"
2004-03-21,"Above_LCR",61,NA,10.1407291666667,NA,"spring","2004"
2004-03-21,"Below_LCR",66,NA,10.556875,NA,"spring","2004"
2004-03-21,"Diamond",225,NA,12.7038541666667,NA,"spring","2004"
2004-03-21,"Glen_Canyon_Dam",-16,NA,8.91444444444444,NA,"spring","2004"
2004-03-21,"LCR",NA,1,17.2430208333333,NA,"spring","2004"
2004-03-21,"Lee's_Ferry",0,NA,9.05402777777778,NA,"spring","2004"
2004-03-21,"National",167,NA,11.9354166666667,NA,"spring","2004"
2004-03-21,"Phantom",88,NA,10.8479166666667,NA,"spring","2004"
2004-03-21,"Spencer",246,NA,12.9185416666667,NA,"spring","2004"
2004-03-22,"30-mile",30,NA,9.73770833333333,NA,"spring","2004"
2004-03-22,"Above_LCR",61,NA,10.4521875,NA,"spring","2004"
2004-03-22,"Below_LCR",66,NA,10.9569791666667,NA,"spring","2004"
2004-03-22,"Diamond",225,NA,12.9194791666667,NA,"spring","2004"
2004-03-22,"Glen_Canyon_Dam",-16,NA,8.90611111111111,NA,"spring","2004"
2004-03-22,"LCR",NA,1,17.7844791666667,NA,"spring","2004"
2004-03-22,"Lee's_Ferry",0,NA,9.38527777777778,NA,"spring","2004"
2004-03-22,"National",167,NA,12.018125,NA,"spring","2004"
2004-03-22,"Phantom",88,NA,11.1017708333333,NA,"spring","2004"
2004-03-22,"Spencer",246,NA,13.1220833333333,NA,"spring","2004"
2004-03-23,"30-mile",30,NA,9.88854166666667,NA,"spring","2004"
2004-03-23,"Above_LCR",61,NA,10.6664583333333,NA,"spring","2004"
2004-03-23,"Below_LCR",66,NA,11.183125,NA,"spring","2004"
2004-03-23,"Diamond",225,NA,13.1548958333333,NA,"spring","2004"
2004-03-23,"Glen_Canyon_Dam",-16,NA,8.97625,NA,"spring","2004"
2004-03-23,"LCR",NA,1,18.2630208333333,NA,"spring","2004"
2004-03-23,"Lee's_Ferry",0,NA,9.13486111111111,NA,"spring","2004"
2004-03-23,"National",167,NA,12.375,NA,"spring","2004"
2004-03-23,"Phantom",88,NA,11.6147916666667,NA,"spring","2004"
2004-03-23,"Spencer",246,NA,13.22,NA,"spring","2004"
2004-03-24,"30-mile",30,NA,9.6740625,NA,"spring","2004"
2004-03-24,"Above_LCR",61,NA,10.2825,NA,"spring","2004"
2004-03-24,"Below_LCR",66,NA,10.7246875,NA,"spring","2004"
2004-03-24,"Diamond",225,NA,13.4908333333333,NA,"spring","2004"
2004-03-24,"Glen_Canyon_Dam",-16,NA,8.96961538461538,NA,"spring","2004"
2004-03-24,"LCR",NA,1,18.3832291666667,NA,"spring","2004"
2004-03-24,"Lee's_Ferry",0,NA,9.04255319148936,NA,"spring","2004"
2004-03-24,"National",167,NA,12.7673958333333,NA,"spring","2004"
2004-03-24,"Phantom",88,NA,11.28125,NA,"spring","2004"
2004-03-24,"Spencer",246,NA,14.004,NA,"spring","2004"
2004-03-25,"30-mile",30,NA,9.73708333333333,NA,"spring","2004"
