OBJECTID,UNIT,SHORE_LEN,HABITAT,KM,SIDE,UNPADDED_STATION_ID,UP_KM,DOWN_KM,LON_SH_ST,LAT_SH_ST,LON_SH_EN,LAT_SH_EN,LON_CL_ST,LAT_CL_ST,LON_CL_EN,LAT_CL_EN,STATION_TYPE,AGF_LEGACY_NAME,SHAPE,STATION_ID,UP_RM,DOWN_RM,RIVER_CODE
10402,,,,46.32,R,S12.95R,,,-111.7074047,36.72199586,,,,,,,46,779R,779,S+012.95R,,12.95,COR
10403,,,,46.41,L,S13.01L,,,-111.7075198,36.7211668,,,,,,,46,204L,204,S+013.01L,,13.01,COR
10404,,,,46.54,R,S13.08R,,,-111.7084247,36.72024548,,,,,,,46,780R,780,S+013.08R,,13.08,COR
10405,,,,46.66,L,S13.16L,,,-111.7081042,36.71907837,,,,,,,46,205L,205,S+013.16L,,13.16,COR
10406,,,,46.77,R,S13.23R,,,-111.7089375,36.71815929,,,,,,,46,781R,781,S+013.23R,,13.23,COR
10407,,,,46.89,L,S13.30L,,,-111.7082112,36.71708475,,,,,,,46,206L,206,S+013.30L,,13.3,COR
10408,,,,46.99,R,S13.36R,,,-111.708786,36.71617908,,,,,,,46,782R,782,S+013.36R,,13.36,COR
10409,,,,47.12,L,S13.44L,,,-111.7082209,36.71500819,,,,,,,46,207L,207,S+013.44L,,13.44,COR
10410,,,,47.22,R,S13.51R,,,-111.7087986,36.71410981,,,,,,,46,783R,783,S+013.51R,,13.51,COR
10411,,,,47.36,L,S13.59L,,,-111.7084073,36.71284032,,,,,,,46,208L,208,S+013.59L,,13.59,COR
10412,,,,47.47,R,S13.66R,,,-111.7089724,36.71189729,,,,,,,46,784R,784,S+013.66R,,13.66,COR
10413,,,,47.59,L,S13.74L,,,-111.7086606,36.71073019,,,,,,,46,209L,209,S+013.74L,,13.74,COR
10414,,,,47.71,R,S13.81R,,,-111.7096419,36.70981833,,,,,,,46,785R,785,S+013.81R,,13.81,COR
10415,,,,47.83,L,S13.88L,,,-111.7096574,36.70871085,,,,,,,46,210L,210,S+013.88L,,13.88,COR
10416,,,,47.94,R,S13.96R,,,-111.7102794,36.70774526,,,,,,,46,786R,786,S+013.96R,,13.96,COR
10417,,,,48.05,L,S14.02L,,,-111.7099458,36.70673698,,,,,,,46,211L,211,S+014.02L,,14.02,COR
10418,,,,48.19,R,S14.11R,,,-111.7106811,36.70557038,,,,,,,46,787R,787,S+014.11R,,14.11,COR
10419,,,,48.29,L,S14.17L,,,-111.7105338,36.70459247,,,,,,,46,212L,212,S+014.17L,,14.17,COR
10420,,,,48.43,R,S14.26R,,,-111.7115818,36.70356635,,,,,,,46,788R,788,S+014.26R,,14.26,COR
